DvL(sqf/s),Dv(sqm/s),Overall lower Limit,DvU(sqf/s),Dv(sqm/s),Overall Upper Limit,DvsL(sqf/s),Dv(sqm/s),Suggested lower Limit,DvsU(sqf/s),Dv(sqm/s),Suggested Upper Limit
80.4,7.5,0.00001,20.2,1.9,0.0101,35.5,3.3,0.0001,29.8,2.8,0.0096
89.4,8.3,0.0001,22.4,2.1,0.0153,39.7,3.7,0.0003,34.2,3.2,0.0155
98.1,9.1,0.0004,25.2,2.3,0.0255,44.2,4.1,0.0008,38.7,3.6,0.0242
105.1,9.8,0.0018,28.4,2.6,0.0412,55.6,5.2,0.0028,43.6,4.1,0.0391
111.2,10.3,0.0028,31.9,3,0.0643,67.5,6.3,0.0079,49.7,4.6,0.0642
126.8,11.8,0.0077,36.6,3.4,0.0924,92.8,8.6,0.0331,60.7,5.6,0.1182
161.7,15,0.0267,40,3.7,0.1203,121.3,11.3,0.0756,68.8,6.4,0.1816
195,18.1,0.0609,46.4,4.3,0.1759,166.8,15.5,0.1614,87.2,8.1,0.2882
273.1,25.4,0.1301,53.2,4.9,0.2487,197.4,18.3,0.2209,106.4,9.9,0.4009
397.1,36.9,0.1869,61.5,5.7,0.3459,245.6,22.8,0.2782,144.5,13.4,0.5048
670.7,62.3,0.2685,71.8,6.7,0.4892,327.3,30.4,0.3503,202.4,18.8,0.5852
1176.1,109.3,0.3,80.4,7.5,0.6062,487.9,45.3,0.45,323.2,30,0.6783
1986.6,184.6,0.3,91.6,8.5,0.7149,741.2,68.9,0.5,713.9,66.3,0.7114
2800,260.1,0.3,107.1,10,0.8022,1454.1,135.1,0.5,2127.7,197.7,0.7213
10000,929,0.3,157.7,14.7,0.9611,10000,929,0.5,10000,929,0.7187
